longest_run,flag_longstring,duration_sec,normative_sec,flag_speeder,completion_rate,flag_low_completion,attn_fails,qc_score
17.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
16.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
32.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
20.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
12.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
16.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
11.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
21.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
31.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
22.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
26.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
26.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
16.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
17.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
15.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
26.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
10.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
15.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
13.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
23.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
26.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
8.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
14.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
16.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
10.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
21.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
11.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
25.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
16.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
14.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
7.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
18.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
19.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
18.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
19.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
26.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
2.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
12.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
25.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
13.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
20.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
19.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
15.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
25.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
32.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
17.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
23.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
15.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
44.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
15.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
32.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
14.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
17.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
25.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
15.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
25.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
16.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
13.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
13.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
15.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
10.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
19.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
23.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
2.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
25.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
17.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
13.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
17.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
28.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
13.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
20.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
14.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
23.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
26.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
28.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
19.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
17.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
35.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
20.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
21.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
23.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
24.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
36.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
27.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
18.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
17.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
16.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
18.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
24.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
20.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
19.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
8.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
26.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
13.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
9.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
23.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
31.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
28.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
21.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
14.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
2.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
15.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
17.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
26.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
11.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
12.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
19.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
20.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
13.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
19.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
20.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
25.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
12.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
11.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
24.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
2.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
20.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
9.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
35.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
23.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
15.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
20.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
